id,completed,population size,population elitism,mutation change,mutation max,tournament,visited segments impact,generations,jump moves,moves,falls,jumps,time,totalTime
192,0,550,0.25,0.01,0.05,0.5,5,87,0,0,47489,1063774,3747.32,524288
193,1,550,0.25,0.01,0.05,0.5,10,80,34,75,50685,933420,3233.5,524288
194,0,550,0.25,0.01,0.05,0.5,15,92,0,0,75544,1102948,3780.47,524288
195,0,550,0.25,0.01,0.05,0.6,5,96,0,0,42921,1044684,3780.34,524288
196,1,550,0.25,0.01,0.05,0.6,10,71,36,79,44291,951008,3165.14,524288
197,1,550,0.25,0.01,0.05,0.6,15,44,34,74,28407,563601,1888.57,524288
198,0,550,0.375,0.01,0.05,0.4,5,96,0,0,58383,1219727,4025.78,524288
199,0,550,0.375,0.01,0.05,0.4,10,86,0,0,102033,1220305,4067.5,524288
200,0,550,0.375,0.01,0.05,0.4,15,82,0,0,41514,1078911,3962.01,524288
201,1,550,0.375,0.01,0.05,0.5,5,55,33,58,26830,732135,2245.01,524288
202,1,550,0.375,0.01,0.05,0.5,10,39,41,71,17733,433735,1457.49,524288
203,1,550,0.375,0.01,0.05,0.5,15,34,39,79,25662,443972,1510.87,524288
204,1,550,0.375,0.01,0.05,0.6,5,89,33,64,49944,1078345,3558.48,524288
205,1,550,0.375,0.01,0.05,0.6,10,66,34,68,32024,800895,2637.12,524288
206,1,550,0.375,0.01,0.05,0.6,15,69,36,80,40376,863668,2663.67,524288
207,0,550,0.5,0.01,0.05,0.4,5,115,0,0,81742,1243986,4472.51,524288
208,1,550,0.5,0.01,0.05,0.4,10,38,43,77,19280,475991,1499.43,524288
209,1,550,0.5,0.01,0.05,0.4,15,35,45,69,20494,489540,1451.95,524288
210,1,550,0.5,0.01,0.05,0.5,5,28,40,65,11537,315826,891.127,524288
211,1,550,0.5,0.01,0.05,0.5,10,28,43,75,12878,341738,1177.18,524288
212,1,550,0.5,0.01,0.05,0.5,15,72,46,103,67686,1318213,4521.22,524288
213,1,550,0.5,0.01,0.05,0.6,5,97,34,60,88128,1401178,4310.28,524288
214,1,550,0.5,0.01,0.05,0.6,10,65,38,77,61286,1087421,3188.68,524288
215,1,550,0.5,0.01,0.05,0.6,15,80,36,72,44307,1195757,3848.62,524288
