id,completed,ants,randomJumpChance,evaporationRate,minIntensity,maxIntensity,moves,falls,jumps,time,totalTime
5,0,10,0.005,0.5,20,1000,1,36402,262386,59945.9,524288
5,0,10,0.005,0.5,20,1000,1,41556,239032,68168.6,524288
5,0,10,0.005,0.5,20,1000,1,41398,263020,56240.6,524288
5,0,10,0.005,0.5,20,1000,1,35963,396198,75250.8,524288
5,0,10,0.005,0.5,20,1000,1,39581,271604,59861.1,524288
5,0,10,0.005,0.5,20,1000,1,40134,262952,68394.9,524288
5,0,10,0.005,0.5,20,1000,1,43420,245844,62048.2,524288
5,0,10,0.005,0.5,20,1000,1,48226,249896,57606.5,524288
5,0,10,0.005,0.5,20,1000,1,46926,229658,56315.4,524288
5,0,10,0.005,0.5,20,1000,1,44428,236305,59932.8,524288
5,0,10,0.005,0.5,20,1000,1,43968,246861,64067.5,524288
5,0,10,0.005,0.5,20,1000,1,73390,241319,48833.8,524288
5,0,10,0.005,0.5,20,1000,1,45194,252062,68314.9,524288
5,0,10,0.005,0.5,20,1000,1,39814,226784,64215.7,524288
5,0,10,0.005,0.5,20,1000,1,40237,268927,62628.6,524288
6,0,10,0.005,0.5,20,1500,1,40801,285424,72587.3,524288
6,0,10,0.005,0.5,20,1500,1,41471,240701,63372.9,524288
6,0,10,0.005,0.5,20,1500,1,43734,322207,81682.9,524288
6,0,10,0.005,0.5,20,1500,1,42493,262401,75001.7,524288
6,0,10,0.005,0.5,20,1500,1,41748,253465,70003,524288
6,0,10,0.005,0.5,20,1500,1,62587,270414,58520,524288
6,0,10,0.005,0.5,20,1500,1,38651,265738,71559.7,524288
6,0,10,0.005,0.5,20,1500,1,44562,238557,69687.4,524288
6,0,10,0.005,0.5,20,1500,1,32514,342848,75915.7,524288
6,0,10,0.005,0.5,20,1500,1,25368,761212,140611,524288
6,1,10,0.005,0.5,20,1500,28,859,7876,1678.32,16701.2
6,0,10,0.005,0.5,20,1500,1,31126,298935,71183.9,524288
6,0,10,0.005,0.5,20,1500,1,41526,263696,75074.1,524288
6,0,10,0.005,0.5,20,1500,1,32408,481732,84426.1,524288
6,0,10,0.005,0.5,20,1500,1,39856,278179,64281.1,524288
6,0,10,0.005,0.5,20,1500,1,34242,339184,74596.2,524288
6,0,10,0.005,0.5,20,1500,1,42145,246178,58777.8,524288
6,0,10,0.005,0.5,20,1500,1,80227,297696,59875.7,524288
6,0,10,0.005,0.5,20,1500,1,15901,955596,125699,524288
6,0,10,0.005,0.5,20,1500,1,36223,318014,75478.6,524288
6,0,10,0.005,0.5,20,1500,1,91723,231939,43313,524288
6,0,10,0.005,0.5,20,1500,1,30614,676889,123197,524288
6,0,10,0.005,0.5,20,1500,1,40661,247104,66180.6,524288
6,0,10,0.005,0.5,20,1500,1,36696,329192,77615.9,524288
7,0,10,0.005,0.5,20,2000,1,52674,255769,55134.3,524288
7,0,10,0.005,0.5,20,2000,1,19924,790852,147168,524288
7,0,10,0.005,0.5,20,2000,1,31475,428732,93995.9,524288
7,0,10,0.005,0.5,20,2000,1,51006,248777,67675.6,524288
7,0,10,0.005,0.5,20,2000,1,55097,257891,67918.5,524288
7,0,10,0.005,0.5,20,2000,1,42598,228474,58566.1,524288
7,0,10,0.005,0.5,20,2000,1,53594,244404,65663.9,524288
7,0,10,0.005,0.5,20,2000,1,40259,240605,59279.5,524288
7,0,10,0.005,0.5,20,2000,1,18172,910248,127944,524288
7,0,10,0.005,0.5,20,2000,1,42674,276049,57877,524288
7,0,10,0.005,0.5,20,2000,1,48011,277082,63417.4,524288
7,0,10,0.005,0.5,20,2000,1,38886,239676,59769.5,524288
7,0,10,0.005,0.5,20,2000,1,46642,252016,55393.8,524288
7,0,10,0.005,0.5,20,2000,1,36203,358250,89319.4,524288
7,0,10,0.005,0.5,20,2000,1,51054,261402,63576.6,524288
7,0,10,0.005,0.5,20,2000,1,49755,237959,63663.1,524288
7,0,10,0.005,0.5,20,2000,1,35186,279705,67251.2,524288
7,0,10,0.005,0.5,20,2000,1,42584,241280,68384.4,524288
7,0,10,0.005,0.5,20,2000,1,46238,272845,58742.2,524288
7,0,10,0.005,0.5,20,2000,1,33523,431346,89560.5,524288
7,1,10,0.005,0.5,20,2000,26,1969,16326,3403.14,34694.4
7,0,10,0.005,0.5,20,2000,1,41477,271259,75510.6,524288
7,0,10,0.005,0.5,20,2000,1,33128,245636,60268.5,524288
7,0,10,0.005,0.5,20,2000,1,43122,246018,70518.7,524288
8,0,10,0.005,0.5,30,500,1,42121,234602,54814.3,524288
8,0,10,0.005,0.5,30,500,1,45676,313525,62833.7,524288
8,0,10,0.005,0.5,30,500,1,32052,349998,74257.9,524288
8,1,10,0.005,0.5,30,500,26,609,6151,1370.86,13631.2
8,0,10,0.005,0.5,30,500,1,32476,290912,62241.7,524288
8,0,10,0.005,0.5,30,500,1,42837,241169,59614.9,524288
8,0,10,0.005,0.5,30,500,1,46558,229225,49454.7,524288
8,0,10,0.005,0.5,30,500,1,29224,385821,77009.6,524288
8,0,10,0.005,0.5,30,500,1,27701,226568,49385.2,524288
8,0,10,0.005,0.5,30,500,1,41668,241521,56897.3,524288
8,0,10,0.005,0.5,30,500,1,29709,277045,57654.6,524288
8,1,10,0.005,0.5,30,500,27,382,2938,748.156,7449.73
8,0,10,0.005,0.5,30,500,1,43424,242018,56037,524288
