id,completed,bots,epsilon,moves,falls,jumps,time,totalTime
11,0,10,0.6,17298,36207,172980,30607.6,304455
11,0,10,0.6,17771,36728,177710,31467.7,319745
11,0,10,0.6,17894,36418,178940,31610.8,322288
11,0,10,0.6,17605,36254,176050,31297.7,316723
11,0,10,0.6,18085,34842,180860,31908.5,327582
11,0,10,0.6,17890,35534,178910,31579.6,321735
11,0,10,0.6,17944,35901,179450,31726,324338
11,0,10,0.6,17864,36337,178650,31591.7,321950
11,0,10,0.6,17372,36542,173725,30869.8,309117
11,0,10,0.6,17526,37453,175270,31164.8,314361
12,0,10,0.65,18575,33682,185750,32528.2,338599
12,0,10,0.65,18216,34988,182166,32106.4,331100
12,0,10,0.65,18224,34625,182250,32085.9,330735
12,0,10,0.65,18141,34638,181420,31902.5,327475
12,0,10,0.65,18150,34564,181510,31884.1,327147
12,0,10,0.65,18270,34709,182710,32128.1,331485
12,0,10,0.65,18316,34269,183170,32203.3,332823
12,0,10,0.65,18340,33402,183410,32222.9,333172
12,0,10,0.65,18315,34292,183160,32219.2,333105
12,0,10,0.65,17695,34344,176960,31260,316053
12,0,10,0.65,18058,34988,180580,31813.6,325895
12,0,10,0.65,18149,35135,181498,31939.6,328134
12,0,10,0.65,18216,34988,182166,32106.4,331100
12,0,10,0.65,18224,34625,182250,32085.9,330735
12,0,10,0.65,18141,34638,181420,31902.5,327475
12,0,10,0.65,18150,34564,181510,31884.1,327147
12,0,10,0.65,18270,34709,182710,32128.1,331485
12,0,10,0.65,18316,34269,183170,32203.3,332823
12,0,10,0.65,18340,33402,183410,32222.9,333172
12,0,10,0.65,18224,34625,182250,32085.9,330735
12,0,10,0.65,18141,34638,181420,31902.5,327475
12,0,10,0.65,18150,34564,181510,31884.1,327147
12,0,10,0.65,18270,34709,182710,32128.1,331485
12,0,10,0.65,17695,34344,176960,31260,316053
13,1,20,0.05,1100,7356,22000,2341.7,46611.3
13,1,20,0.05,185,1166,3700,374.067,7452.96
13,1,20,0.05,338,2477,6760,762.74,15174.8
13,1,20,0.05,292,2075,5840,640.139,12740.5
13,1,20,0.05,1174,8540,23480,2622.58,51898.5
13,1,20,0.05,527,3315,10540,1078.77,21747.2
13,1,20,0.05,424,2868,8480,943.405,18901.4
13,1,20,0.05,896,7082,17920,2164.73,43280
13,1,20,0.05,938,8918,18760,2653.89,52488
13,1,20,0.05,1894,13742,37880,4335.4,84139.8
13,1,20,0.05,925,6636,18500,2084.13,41763
13,1,20,0.05,571,3336,11420,1095.17,22091.9
13,1,20,0.05,302,1707,6040,611.943,12180.9
13,1,20,0.05,1051,6764,21020,2173.36,43442.5
13,1,20,0.05,2270,15692,45400,4890.75,94593.6
13,1,20,0.05,316,2629,6320,800.2,15918.7
13,1,20,0.05,345,2626,6900,793.243,15780.4
13,1,20,0.05,1227,8386,24540,2696.74,53294.4
13,1,20,0.05,866,6078,17320,1917.64,38647
13,1,20,0.05,417,2890,8340,906.462,18125.1
13,1,20,0.05,347,2825,6940,849.452,16926.6
13,1,20,0.05,3197,22865,63940,7135.45,136847
13,1,20,0.05,63,473,1260,129.83,2594.99
13,1,20,0.05,658,4700,13160,1485.75,30302.7
14,1,20,0.1,659,5118,13180,1493.75,30470.8
14,1,20,0.1,533,3980,10660,1204.91,24399.1
14,1,20,0.1,887,7468,17740,2094.27,41954
14,1,20,0.1,694,5087,13880,1524.15,31109.8
14,1,20,0.1,558,4437,11160,1309.12,26589.4
14,1,20,0.1,110,675,2200,214.414,4277.51
14,1,20,0.1,1216,9185,24320,2741.81,54142.8
14,1,20,0.1,1152,8786,23040,2596.23,51402.5
14,1,20,0.1,689,5448,13780,1506.32,30735.1
14,1,20,0.1,85,636,1700,175.652,3506.6
14,1,20,0.1,1170,8826,23400,2620.14,51852.8
14,1,20,0.1,268,1876,5360,539.245,10737.7
14,1,20,0.1,1056,8065,21120,2230.15,44511.8
14,1,20,0.1,353,2618,7060,731.818,14561
14,1,20,0.1,1655,11986,33100,3727.07,72689
14,1,20,0.1,231,1387,4620,478.199,9524.22
14,1,20,0.1,695,5547,13900,1643.91,33532
14,1,20,0.1,378,2934,7560,797.675,15868.4
14,1,20,0.1,3053,23581,61060,7008.38,134455
14,1,20,0.1,488,3795,9760,1101.68,22228.7
14,1,20,0.1,219,1645,4380,432.81,8621.56
14,1,20,0.1,393,2913,7860,806.188,16037.4
14,1,20,0.1,806,6243,16120,1797.4,36400.2
14,1,20,0.1,550,4395,11000,1289.03,26167.2
15,1,20,0.15,173,1165,3460,343.301,6841.25
15,1,20,0.15,802,5945,16040,1734.1,35217.2
15,1,20,0.15,384,2894,7680,840.571,16739.7
15,1,20,0.15,689,5032,13780,1445.78,29462.6
15,1,20,0.15,1022,7955,20440,2265.71,45181
15,1,20,0.15,917,6871,18340,1933.39,38941.3
15,1,20,0.15,861,6103,17220,1900.52,38326.9
15,1,20,0.15,999,7862,19980,2071.86,41532
15,1,20,0.15,641,4840,12820,1358.79,27633.7
15,1,20,0.15,301,2292,6020,656.494,13065.4
15,1,20,0.15,854,6507,17080,1746.56,35450.1
15,1,20,0.15,285,2265,5700,616.96,12280.6
15,1,20,0.15,994,7563,19880,2292.14,45678.5
15,1,20,0.15,549,4216,10980,1146.83,23178
15,1,20,0.15,345,2144,6900,687.099,13673
15,1,20,0.15,2083,14890,41660,4488.45,87020.6
15,1,20,0.15,417,3260,8340,935.043,18725.8
15,1,20,0.15,2071,15906,41420,4468.92,86653.3
15,1,20,0.15,1886,14124,37720,4168.22,80992.9
15,1,20,0.15,804,6177,16080,1747.59,35469.6
15,1,20,0.15,2854,22049,57080,6257.71,120324
15,1,20,0.15,648,4999,12960,1446.87,29485.4
15,1,20,0.15,1589,11456,31780,3383.8,66227.4
15,1,20,0.15,2919,22764,58380,6373.14,122497
16,1,20,0.2,66,472,1320,137.793,2753.5
16,1,20,0.2,2884,21669,57680,6141.6,118139
16,1,20,0.2,373,2965,7460,828.012,16475.8
16,1,20,0.2,1804,13475,36080,3998.55,77799.1
16,1,20,0.2,204,1354,4080,421.843,8403.34
16,0,20,0.2,4866,37665,97340,10418.5,198645
16,1,20,0.2,213,1527,4260,441.741,8799.28
16,1,20,0.2,4432,34849,88640,9674.69,184644
16,1,20,0.2,1316,10221,26320,2715.32,53644.2
16,1,20,0.2,2261,17184,45220,4831.87,93485.2
16,1,20,0.2,1184,8794,23680,2535.24,50254.4
16,1,20,0.2,1007,7959,20140,2153.37,43066.3
16,1,20,0.2,660,4558,13200,1371.43,27899.6
16,1,20,0.2,847,6201,16940,1809.35,36623.5
16,1,20,0.2,2764,21270,55280,5957.83,114680
16,1,20,0.2,855,6376,17100,1820.12,36824.9
16,1,20,0.2,176,1368,3520,402.696,8022.44
16,1,20,0.2,939,7141,18780,2079.1,41668.3
16,1,20,0.2,570,4307,11400,1150.28,23250.3
16,1,20,0.2,1311,9728,26220,2774.35,54755.3
16,0,20,0.2,4897,37792,97960,10489.6,199984
16,1,20,0.2,254,1882,5080,540.666,10765.8
