id,ukoñczony poziom,agenci,prawdopodobieñstwo losowego skoku,wspó³czynnik uczenia,wspó³czynnik dyskontowy,epsilon,wynikowe upadki,wynikowe skoki,wynikowy czas,upadki,skoki,czas
34,1,50,0.01,0.05,0.3,0.1,0,24,44.89673564,2930,22580,807.542
34,1,50,0.01,0.05,0.3,0.1,0,22,43.05667523,9638,68918,2637.46
34,1,50,0.01,0.05,0.3,0.1,0,22,42.49271236,4440,36821,1357.73
34,1,50,0.01,0.05,0.3,0.1,0,23,44.77429944,6720,42333,2316.25
35,1,50,0.01,0.05,0.3,0.15,0,21,39.5558131,11026,76024,3130.26
35,1,50,0.01,0.05,0.3,0.15,0,23,42.83574377,7799,48003,1934.93
35,0,50,0.01,0.05,0.3,0.15,0,1,1.91283229,16935,102221,4644.15
35,0,50,0.01,0.05,0.3,0.15,0,1,1.936421267,16996,114502,4652.04
36,0,50,0.01,0.1,0.1,0.05,0,1,1.888261318,9145,66548,4160.9
36,1,50,0.01,0.1,0.1,0.05,0,25,48.44770017,3235,22387,719.392
36,0,50,0.01,0.1,0.1,0.05,0,1,1.864302014,1088,11560,5408.06
36,1,50,0.01,0.1,0.1,0.05,0,24,47.57781886,1142,8578,311.434
37,1,50,0.01,0.1,0.1,0.1,0,23,44.30356352,4429,33872,1202.25
37,0,50,0.01,0.1,0.1,0.1,0,1,1.975406162,2872,20119,4511.21
37,0,50,0.01,0.1,0.1,0.1,0,1,1.927751454,6570,45509,5042.34
37,0,50,0.01,0.1,0.1,0.1,0,1,1.908774246,13890,90588,4421.79
38,0,50,0.01,0.1,0.1,0.15,0,1,1.999599444,16545,96504,4778.34
38,0,50,0.01,0.1,0.1,0.15,0,1,1.929357337,18199,108250,4769.03
38,1,50,0.01,0.1,0.1,0.15,0,22,41.39588077,8958,56871,2376.03
38,1,50,0.01,0.1,0.1,0.15,0,23,45.37492139,2865,19172,739.878
39,0,50,0.01,0.1,0.2,0.05,0,1,1.984179804,2544,21972,4643.62
39,1,50,0.01,0.1,0.2,0.05,0,26,51.59400101,1347,12766,431.725
39,1,50,0.01,0.1,0.2,0.05,0,25,47.40601679,532,5643,199.39
39,1,50,0.01,0.1,0.2,0.05,0,26,48.28139744,1078,9127,332.584
40,1,50,0.01,0.1,0.2,0.1,0,27,51.76526445,5072,41884,1529.05
40,1,50,0.01,0.1,0.2,0.1,0,24,44.59908656,2448,18086,693.437
40,1,50,0.01,0.1,0.2,0.1,0,23,42.71842047,2888,24217,837.762
40,0,50,0.01,0.1,0.2,0.1,0,1,1.960163015,17120,110305,4470.77
41,0,50,0.01,0.1,0.2,0.15,0,1,1.973582986,15033,94277,4457.65
41,1,50,0.01,0.1,0.2,0.15,0,24,46.89321353,1772,13055,478.382
41,1,50,0.01,0.1,0.2,0.15,0,22,40.96498484,14063,78863,3109.26
41,0,50,0.01,0.1,0.2,0.15,0,1,1.890906613,15412,98261,4721.43
42,1,50,0.01,0.1,0.3,0.05,0,23,43.43749363,2014,18008,614.618
42,1,50,0.01,0.1,0.3,0.05,0,25,48.72626727,633,6274,215.766
42,1,50,0.01,0.1,0.3,0.05,0,26,50.55166924,3816,25563,868.383
42,0,50,0.01,0.1,0.3,0.05,0,1,1.876253723,6913,52806,4188.74
43,1,50,0.01,0.1,0.3,0.1,0,24,44.53833433,12816,106692,4625.78
43,1,50,0.01,0.1,0.3,0.1,0,23,44.75437248,2740,21285,747.103
43,1,50,0.01,0.1,0.3,0.1,0,22,42.46192767,4458,36148,1318.21
43,0,50,0.01,0.1,0.3,0.1,0,1,1.918461486,5540,37948,6545.1
44,0,50,0.01,0.1,0.3,0.15,0,1,1.921357353,16850,98198,5029.86
44,1,50,0.01,0.1,0.3,0.15,0,22,43.11479438,11266,67524,3439.89
44,0,50,0.01,0.1,0.3,0.15,0,1,1.954049752,17457,108937,4629.21
