id,ukoñczony poziom,decyzyjne skoki,wartoœæ skoku decyzyjnego,wartoœæ ruchu decyzyjnego,wynikowe ruchy,wynikowe upadki,wynikowe skoki,wynikowy czas,upadki,skoki,czas
151,0,8,10,0.8,0,0,0,11.2891,13,96,11.2891
152,0,8,10,0.825,0,0,0,8.91774,12,88,8.91774
153,0,8,10,0.85,0,0,0,8.91774,12,88,8.91774
154,0,8,10,0.875,0,0,0,8.91774,12,88,8.91774
155,0,8,10,0.9,0,0,0,8.91774,12,88,8.91774
156,0,8,10,0.925,0,0,0,8.91774,12,88,8.91774
157,0,8,10,0.95,0,0,0,8.91774,12,88,8.91774
158,0,8,10,0.975,0,0,0,8.91774,12,88,8.91774
159,0,8,10,1,0,0,0,16.7667,26,104,16.7667
160,1,10,10,0.025,79,0,26,161.113,2338,5890,161.113
161,1,10,10,0.05,67,0,26,136.307,1829,4560,136.307
162,1,10,10,0.075,53,0,26,108.086,1281,3100,108.086
163,1,10,10,0.1,52,0,26,107.201,1133,2760,107.201
164,1,10,10,0.125,46,0,26,94.3082,881,2168,94.3082
165,1,10,10,0.15,44,0,26,90.9848,802,1950,90.9848
166,1,10,10,0.175,42,0,26,88.9473,749,1740,88.9473
167,1,10,10,0.2,41,0,26,86.9766,673,1600,86.9766
168,1,10,10,0.225,39,0,26,81.3318,582,1390,81.3318
169,1,10,10,0.25,40,0,27,84.388,543,1310,84.388
170,1,10,10,0.275,37,0,26,77.2568,494,1160,77.2568
171,0,10,10,0.3,0,0,0,76.5052,424,1070,76.5052
172,1,10,10,0.325,40,0,28,87.4943,487,1070,87.4943
173,0,10,10,0.35,0,0,0,24.8833,128,420,24.8833
174,0,10,10,0.375,0,0,0,22.1443,111,400,22.1443
175,0,10,10,0.4,0,0,0,25.7851,107,380,25.7851
176,0,10,10,0.425,0,0,0,26.1191,99,350,26.1191
177,0,10,10,0.45,0,0,0,25.7851,103,340,25.7851
178,0,10,10,0.475,0,0,0,24.282,82,310,24.282
179,0,10,10,0.5,0,0,0,24.282,80,310,24.282
180,0,10,10,0.525,0,0,0,27.8059,88,310,27.8059
181,0,10,10,0.55,0,0,0,44.2561,146,440,44.2561
182,0,10,10,0.575,0,0,0,76.1378,290,680,76.1378
183,0,10,10,0.6,0,0,0,73.6661,292,670,73.6661
184,0,10,10,0.625,0,0,0,55.9466,206,540,55.9466
185,0,10,10,0.65,0,0,0,56.6648,205,540,56.6648
186,0,10,10,0.675,0,0,0,24.9334,82,260,24.9334
187,0,10,10,0.7,0,0,0,20.7248,70,250,20.7248
188,0,10,10,0.725,0,0,0,20.7081,70,250,20.7081
189,0,10,10,0.75,0,0,0,18.537,71,250,18.537
190,0,10,10,0.775,0,0,0,18.5203,68,240,18.5203
191,0,10,10,0.8,0,0,0,18.5203,69,240,18.5203
192,0,10,10,0.825,0,0,0,11.3559,17,120,11.3559
193,0,10,10,0.85,0,0,0,8.98454,15,110,8.98454
194,0,10,10,0.875,0,0,0,8.98454,15,110,8.98454
195,0,10,10,0.9,0,0,0,8.98454,16,110,8.98454
196,0,10,10,0.925,0,0,0,8.98454,16,110,8.98454
197,0,10,10,0.95,0,0,0,8.98454,16,110,8.98454
198,0,10,10,0.975,0,0,0,8.98454,16,110,8.98454
199,0,10,10,1,0,0,0,8.98454,16,110,8.98454
200,1,12,10,0.025,82,0,25,175.419,3052,7440,175.419
201,1,12,10,0.05,64,0,26,137.542,2272,5610,137.542
202,1,12,10,0.075,59,0,25,127.476,1565,3828,127.476
203,1,12,10,0.1,49,0,25,104.562,1417,3324,104.562
204,1,12,10,0.125,47,0,25,101.857,1064,2592,101.857
205,1,12,10,0.15,42,0,25,91.0349,986,2364,91.0349
206,1,12,10,0.175,38,0,26,81.5823,818,2004,81.5823
207,1,12,10,0.2,38,0,26,81.9998,761,1896,81.9998
208,1,12,10,0.225,39,0,27,84.8556,672,1668,84.8556
209,1,12,10,0.25,36,0,26,77.1232,665,1596,77.1232
210,1,12,10,0.275,42,0,26,92.0536,571,1428,92.0536
211,1,12,10,0.3,41,0,26,88.7302,561,1356,88.7302
212,1,12,10,0.325,40,0,26,87.1102,543,1284,87.1102
213,1,12,10,0.35,40,0,26,86.3253,545,1212,86.3253
214,1,12,10,0.375,38,0,28,82.7513,460,1164,82.7513
215,1,12,10,0.4,36,0,27,76.238,461,1104,76.238
216,1,12,10,0.425,39,0,27,82.6511,400,996,82.6511
217,0,12,10,0.45,0,0,0,79.4947,394,924,79.4947
218,0,12,10,0.475,0,0,0,76.071,389,900,76.071
219,0,12,10,0.5,0,0,0,76.5554,358,876,76.5554
220,0,12,10,0.525,0,0,0,60.6729,290,732,60.6729
221,0,12,10,0.55,0,0,0,56.932,273,708,56.932
222,1,12,10,0.575,37,0,28,81.3485,335,840,81.3485
223,1,12,10,0.6,37,0,28,82.0833,356,828,82.0833
224,1,12,10,0.625,37,0,29,81.7326,337,780,81.7326
225,1,12,10,0.65,37,0,29,81.7326,322,780,81.7326
226,0,12,10,0.675,0,0,0,24.616,93,324,24.616
227,0,12,10,0.7,0,0,0,24.616,93,312,24.616
228,0,12,10,0.725,0,0,0,56.1136,232,600,56.1136
229,0,12,10,0.75,0,0,0,52.7568,237,600,52.7568
230,0,12,10,0.775,0,0,0,36.1897,144,432,36.1897
231,0,12,10,0.8,0,0,0,33.9351,137,420,33.9351
232,0,12,10,0.825,0,0,0,33.9351,133,408,33.9351
233,0,12,10,0.85,0,0,0,34.2524,140,396,34.2524
234,0,12,10,0.875,0,0,0,9.03464,21,132,9.03464
235,0,12,10,0.9,0,0,0,9.03464,21,132,9.03464
236,0,12,10,0.925,0,0,0,9.03464,21,132,9.03464
237,0,12,10,0.95,0,0,0,9.03464,21,132,9.03464
238,0,12,10,0.975,0,0,0,9.03464,21,132,9.03464
239,0,12,10,1,0,0,0,9.03464,21,132,9.03464
240,1,14,10,0.025,83,0,26,174.551,3349,8486,174.551
241,1,14,10,0.05,71,0,26,146.423,2418,6356,146.423
242,1,14,10,0.075,56,0,26,117.205,1707,4448,117.205
243,1,14,10,0.1,50,0,26,105.665,1578,3824,105.665
244,1,14,10,0.125,48,0,26,101.139,1177,3038,101.139
245,1,14,10,0.15,44,0,26,93.2394,1124,2770,93.2394
246,1,14,10,0.175,41,0,26,89.1644,888,2336,89.1644
247,1,14,10,0.2,40,0,26,86.4923,854,2170,86.4923
248,1,14,10,0.225,42,0,28,92.0369,758,1960,92.0369
249,1,14,10,0.25,37,0,26,81.1648,744,1862,81.1648
250,0,14,10,0.275,0,0,0,66.7019,511,1372,66.7019
251,1,14,10,0.3,38,0,27,82.2336,654,1638,82.2336
252,1,14,10,0.325,39,0,27,84.8723,652,1540,84.8723
253,1,14,10,0.35,38,0,26,82.9016,580,1414,82.9016
254,1,14,10,0.375,35,0,27,78.693,503,1302,78.693
255,1,14,10,0.4,35,0,26,76.7224,515,1302,76.7224
256,1,14,10,0.425,35,0,25,77.4405,483,1204,77.4405
257,1,14,10,0.45,35,0,27,78.1252,456,1190,78.1252
