id,ukoñczony poziom,liczba postaci,epsilon,wynikowe upadki,wynikowe skoki,wynikowy czas,upadki,skoki,czas
6,0,10,0.35,190,15284,28202.7,44567,152843,28202.7
6,0,10,0.35,266,15035,27900.8,45208,150360,27900.8
6,0,10,0.35,302,15582,28457.7,44489,155830,28457.7
6,1,10,0.35,41,2288,4140.16,6555,22880,4140.16
6,1,10,0.35,178,11046,20236.6,33269,110460,20236.6
6,0,10,0.35,245,15197,28117.9,45105,151980,28117.9
6,1,10,0.35,216,12607,23178,35641,126070,23178
6,0,10,0.35,177,15315,28226.6,45250,153160,28226.6
6,1,10,0.35,157,9957,18239.2,30097,99570,18239.2
6,0,10,0.35,241,15391,28375.7,44391,153920,28375.7
6,0,10,0.35,216,15102,27862.2,45364,151026,27862.2
6,0,10,0.35,170,15326,28250.3,44421,153260,28250.3
6,0,10,0.35,222,15690,28713.5,43822,156910,28713.5
6,0,10,0.35,301,15208,28106.4,44289,152090,28106.4
6,1,10,0.35,191,10303,18634.1,29455,103030,18634.1
6,0,10,0.35,222,15272,28132.1,45101,152730,28132.1
6,0,10,0.35,175,15287,28261.9,43961,152870,28261.9
6,1,10,0.35,119,6481,11776.4,20052,64810,11776.4
6,0,10,0.35,182,15111,28039.6,44755,151111,28039.6
6,0,10,0.35,285,15422,28431.6,44657,154223,28431.6
6,0,10,0.35,303,15332,28354.9,44662,153320,28354.9
7,0,10,0.4,244,16079,29208.9,43887,160790,29208.9
7,0,10,0.4,237,15686,28751.6,43864,156862,28751.6
7,0,10,0.4,223,16028,29224.4,44053,160290,29224.4
7,0,10,0.4,212,15673,28792.2,43363,156740,28792.2
7,0,10,0.4,195,15968,29172.8,42383,159686,29172.8
7,0,10,0.4,160,15765,28913.8,42957,157660,28913.8
7,0,10,0.4,306,16043,29190.8,43841,160438,29190.8
7,0,10,0.4,223,15400,28293.4,43804,154000,28293.4
7,0,10,0.4,198,15426,28401.9,43878,154270,28401.9
7,0,10,0.4,310,15945,28955.6,42687,159460,28955.6
7,0,10,0.4,267,15989,29052.3,42701,159900,29052.3
7,0,10,0.4,283,16080,29134.2,42239,160810,29134.2
7,0,10,0.4,297,15888,29040.9,42302,158882,29040.9
7,0,10,0.4,287,15885,28963,43502,158860,28963
7,0,10,0.4,287,15678,28721.5,43918,156790,28721.5
7,0,10,0.4,237,15752,28696.2,43415,157530,28696.2
7,0,10,0.4,225,15534,28489.6,44219,155350,28489.6
7,0,10,0.4,194,15780,28815.9,43533,157800,28815.9
7,0,10,0.4,278,15561,28471.1,43046,155620,28471.1
7,0,10,0.4,217,15497,28238.9,41439,154980,28238.9
7,0,10,0.4,221,15659,28609.3,43114,156590,28609.3
7,0,10,0.4,308,15823,28810.4,44195,158240,28810.4
7,0,10,0.4,307,15812,28775.8,42702,158129,28775.8
7,0,10,0.4,233,15603,28535.9,44021,156040,28535.9
8,1,10,0.45,190,13115,23517.3,33439,131150,23517.3
8,0,10,0.45,311,16407,29684.5,41463,164080,29684.5
8,0,10,0.45,271,16664,29965.6,40491,166650,29965.6
8,0,10,0.45,217,16643,29861.9,41191,166430,29861.9
8,0,10,0.45,326,16561,29795.8,41276,165611,29795.8
8,0,10,0.45,256,16337,29604.7,41861,163380,29604.7
8,1,10,0.45,63,4440,7866.5,11556,44400,7866.5
8,0,10,0.45,318,16132,29267.7,42096,161322,29267.7
8,0,10,0.45,168,16564,29755.9,40833,165650,29755.9
8,0,10,0.45,315,16494,29778.8,41191,164945,29778.8
8,0,10,0.45,294,16203,29383.8,42254,162040,29383.8
8,0,10,0.45,215,16761,30099,40917,167616,30099
8,0,10,0.45,275,16462,29648.4,42069,164630,29648.4
8,0,10,0.45,242,16477,29698.4,41464,164780,29698.4
8,0,10,0.45,193,16395,29612.7,42335,163960,29612.7
8,0,10,0.45,223,16541,29831.2,41482,165420,29831.2
8,0,10,0.45,281,16344,29614.6,42119,163446,29614.6
8,0,10,0.45,237,16445,29722.1,41631,164460,29722.1
8,0,10,0.45,216,16828,30193.1,40181,168290,30193.1
8,0,10,0.45,196,16482,29761.8,41575,164830,29761.8
8,0,10,0.45,171,16541,29846.6,41988,165420,29846.6
8,0,10,0.45,239,16547,29847.5,41396,165479,29847.5
8,0,10,0.45,189,16431,29748.5,41753,164320,29748.5
8,0,10,0.45,223,16754,30171.2,40679,167540,30171.2
9,0,10,0.5,173,16852,30193.9,40644,168524,30193.9
9,0,10,0.5,326,16804,30195,40592,168050,30195
9,0,10,0.5,310,16691,29984.5,40759,166920,29984.5
9,0,10,0.5,224,16837,30236.7,40000,168380,30236.7
9,0,10,0.5,189,17086,30555,39799,170860,30555
9,0,10,0.5,200,17068,30657.5,39897,170680,30657.5
9,0,10,0.5,222,17189,30658.4,39414,171900,30658.4
9,0,10,0.5,267,17058,30450.3,38324,170588,30450.3
9,0,10,0.5,240,16818,30223,40506,168190,30223
9,0,10,0.5,239,17169,30667.5,39707,171690,30667.5
9,1,10,0.5,69,3872,6810.09,9303,38720,6810.09
9,0,10,0.5,254,16911,30326.2,39998,169110,30326.2
9,0,10,0.5,241,17075,30574.5,39977,170760,30574.5
9,0,10,0.5,177,16985,30419.2,39550,169860,30419.2
9,0,10,0.5,232,16794,30150.1,41087,167947,30150.1
9,0,10,0.5,260,16798,30209.1,40823,167980,30209.1
9,0,10,0.5,214,16963,30390.2,40230,169640,30390.2
9,0,10,0.5,228,16851,30223.1,40201,168517,30223.1
9,0,10,0.5,297,16759,30205,40414,167590,30205
9,0,10,0.5,263,16147,29214.9,41067,161480,29214.9
9,0,10,0.5,220,16839,30229.5,40714,168390,30229.5
9,0,10,0.5,261,16881,30268.5,39935,168816,30268.5
9,0,10,0.5,282,17086,30553.6,39318,170870,30553.6
9,0,10,0.5,186,16681,30031.4,41345,166820,30031.4
10,0,10,0.55,339,17345,30910.5,37675,173460,30910.5
10,0,10,0.55,306,17396,31005.4,38614,173970,31005.4
10,0,10,0.55,175,17189,30654.1,38617,171890,30654.1
10,0,10,0.55,190,17335,30827.9,38545,173350,30827.9
10,0,10,0.55,327,17531,31144.9,37766,175318,31144.9
10,0,10,0.55,278,17632,31337.5,36830,176321,31337.5
10,0,10,0.55,204,17432,30986.3,38584,174320,30986.3
10,0,10,0.55,202,17387,30901.7,37612,173870,30901.7
10,0,10,0.55,255,17507,31084.6,36911,175080,31084.6
10,0,10,0.55,226,17306,30892.5,38565,173062,30892.5
10,0,10,0.55,244,16930,30315.1,39673,169307,30315.1
10,0,10,0.55,329,17605,31274.6,37102,176060,31274.6
10,0,10,0.55,204,17238,30673.8,39059,172390,30673.8
10,0,10,0.55,234,17724,31347.9,37584,177250,31347.9
10,0,10,0.55,294,17082,30626.7,39828,170820,30626.7
10,0,10,0.55,197,17034,30557.8,38733,170350,30557.8
10,0,10,0.55,220,17517,31112,38566,175180,31112
10,0,10,0.55,296,17193,30686.8,38214,171940,30686.8
10,0,10,0.55,305,17558,31142.9,37870,175580,31142.9
10,0,10,0.55,176,17028,30513.5,39905,170290,30513.5
10,0,10,0.55,254,17602,31268.6,37196,176020,31268.6
10,0,10,0.55,270,17314,30792.9,37843,173150,30792.9
10,0,10,0.55,184,17470,31016.7,37125,174707,31016.7
10,0,10,0.55,183,16935,30234.3,38392,169360,30234.3
11,0,10,0.6,232,17789,31468,36351,177900,31468
11,0,10,0.6,313,17572,31144.6,37020,175730,31144.6
11,0,10,0.6,341,17796,31542.2,36233,177970,31542.2
11,0,10,0.6,194,17971,31715.8,35635,179720,31715.8
11,0,10,0.6,322,17692,31260.6,36125,176920,31260.6
11,0,10,0.6,327,17734,31457.3,35989,177350,31457.3
11,0,10,0.6,179,17900,31591.8,36114,179000,31591.8
11,0,10,0.6,213,17619,31250.8,35938,176190,31250.8
11,0,10,0.6,297,17995,31718.5,36218,179960,31718.5
11,0,10,0.6,333,17707,31406.6,36376,177080,31406.6
11,0,10,0.6,343,17656,31338.7,37258,176570,31338.7
11,0,10,0.6,266,17881,31604.5,36943,178810,31604.5
11,0,10,0.6,267,17785,31447.6,36711,177860,31447.6
11,0,10,0.6,254,17738,31406.3,36572,177385,31406.3
11,0,10,0.6,291,17298,30607.6,36207,172980,30607.6
11,0,10,0.6,242,17771,31467.7,36728,177710,31467.7
11,0,10,0.6,250,17894,31610.8,36418,178940,31610.8
11,0,10,0.6,219,17605,31297.7,36254,176050,31297.7
11,0,10,0.6,353,18085,31908.5,34842,180860,31908.5
11,0,10,0.6,239,17890,31579.6,35534,178910,31579.6
11,0,10,0.6,289,17944,31726,35901,179450,31726
11,0,10,0.6,353,17864,31591.7,36337,178650,31591.7
11,0,10,0.6,203,17372,30869.8,36542,173725,30869.8
11,0,10,0.6,269,17526,31164.8,37453,175270,31164.8
12,0,10,0.65,335,18575,32528.2,33682,185750,32528.2
12,0,10,0.65,273,18216,32106.4,34988,182166,32106.4
12,0,10,0.65,209,18224,32085.9,34625,182250,32085.9
12,0,10,0.65,324,18141,31902.5,34638,181420,31902.5
12,0,10,0.65,332,18150,31884.1,34564,181510,31884.1
12,0,10,0.65,346,18270,32128.1,34709,182710,32128.1
12,0,10,0.65,191,18316,32203.3,34269,183170,32203.3
12,0,10,0.65,285,18340,32222.9,33402,183410,32222.9
12,0,10,0.65,350,18315,32219.2,34292,183160,32219.2
12,0,10,0.65,234,17695,31260,34344,176960,31260
12,0,10,0.65,353,18058,31813.6,34988,180580,31813.6
12,0,10,0.65,325,18149,31939.6,35135,181498,31939.6
12,0,10,0.65,264,18216,32106.4,34988,182166,32106.4
12,0,10,0.65,314,18224,32085.9,34625,182250,32085.9
12,0,10,0.65,186,18141,31902.5,34638,181420,31902.5
12,0,10,0.65,315,18150,31884.1,34564,181510,31884.1
12,0,10,0.65,297,18270,32128.1,34709,182710,32128.1
12,0,10,0.65,350,18316,32203.3,34269,183170,32203.3
12,0,10,0.65,245,18340,32222.9,33402,183410,32222.9
12,0,10,0.65,291,18224,32085.9,34625,182250,32085.9
12,0,10,0.65,331,18141,31902.5,34638,181420,31902.5
12,0,10,0.65,204,18150,31884.1,34564,181510,31884.1
12,0,10,0.65,356,18270,32128.1,34709,182710,32128.1
12,0,10,0.65,320,17695,31260,34344,176960,31260
13,1,20,0.05,14,1100,2341.7,7356,22000,2341.7
13,1,20,0.05,2,185,374.067,1166,3700,374.067
13,1,20,0.05,6,338,762.74,2477,6760,762.74
13,1,20,0.05,2,292,640.139,2075,5840,640.139
13,1,20,0.05,19,1174,2622.58,8540,23480,2622.58
13,1,20,0.05,6,527,1078.77,3315,10540,1078.77
13,1,20,0.05,7,424,943.405,2868,8480,943.405
13,1,20,0.05,12,896,2164.73,7082,17920,2164.73
13,1,20,0.05,18,938,2653.89,8918,18760,2653.89
13,1,20,0.05,34,1894,4335.4,13742,37880,4335.4
13,1,20,0.05,15,925,2084.13,6636,18500,2084.13
13,1,20,0.05,10,571,1095.17,3336,11420,1095.17
13,1,20,0.05,3,302,611.943,1707,6040,611.943
13,1,20,0.05,20,1051,2173.36,6764,21020,2173.36
13,1,20,0.05,43,2270,4890.75,15692,45400,4890.75
13,1,20,0.05,3,316,800.2,2629,6320,800.2
13,1,20,0.05,5,345,793.243,2626,6900,793.243
13,1,20,0.05,12,1227,2696.74,8386,24540,2696.74
13,1,20,0.05,10,866,1917.64,6078,17320,1917.64
13,1,20,0.05,6,417,906.462,2890,8340,906.462
13,1,20,0.05,6,347,849.452,2825,6940,849.452
13,1,20,0.05,48,3197,7135.45,22865,63940,7135.45
13,1,20,0.05,1,63,129.83,473,1260,129.83
13,1,20,0.05,7,658,1485.75,4700,13160,1485.75
