id,ukoñczony poziom,rozmiar populacji,elityzm,zmiana wspó³czynnika mutacji,maksymalna wartoœæ wspó³czynnika mutacji,turniej,wspó³czynnik wp³ywu odwiedzonych platform,generacje,wynikowe ruchy,wynikowe upadki,wynikowe skoki,wynikowy czas,upadki,skoki,czas
138,1,450,0.25,0.01,0.05,0.5,5,42,69,0,40,74.06108866,12981,445916,1548.77
139,1,450,0.25,0.01,0.05,0.5,10,70,86,0,36,64.86565066,39265,651782,3117.72
140,1,450,0.25,0.01,0.05,0.5,15,74,78,0,40,73.77965103,27161,748531,2912.21
141,1,450,0.25,0.01,0.05,0.6,5,41,69,0,34,61.49597859,13778,369279,1602.85
142,1,450,0.25,0.01,0.05,0.6,10,51,71,0,39,71.75473631,17689,491721,1952.24
143,1,450,0.25,0.01,0.05,0.6,15,72,82,0,40,73.63640982,35984,925466,3641.44
144,1,450,0.375,0.01,0.05,0.4,5,60,66,0,30,57.99443491,35520,663020,2752.94
145,1,450,0.375,0.01,0.05,0.4,10,65,71,0,33,53.82582794,30487,727038,2972.79
146,1,450,0.375,0.01,0.05,0.4,15,80,73,0,35,69.5734639,30668,801521,3438.17
147,1,450,0.375,0.01,0.05,0.5,5,99,63,0,35,67.61492436,49117,957657,3719.58
148,1,450,0.375,0.01,0.05,0.5,10,43,78,0,38,62.10057472,14667,369859,1537.56
149,1,450,0.375,0.01,0.05,0.5,15,40,72,0,37,60.11648509,16945,454999,1725.82
150,1,450,0.375,0.01,0.05,0.6,5,52,63,0,33,59.19258941,22554,569393,2305.91
151,0,450,0.375,0.01,0.05,0.6,10,97,0,0,0,0,74841,1263875,5104.68
152,1,450,0.375,0.01,0.05,0.6,15,31,77,0,47,75.4309517,12177,365167,1330.49
153,1,450,0.5,0.01,0.05,0.4,5,60,76,0,40,65.28105413,28387,767263,2866.66
154,1,450,0.5,0.01,0.05,0.4,10,60,69,0,38,61.42480617,51287,828235,3051.12
155,1,450,0.5,0.01,0.05,0.4,15,51,75,0,39,62.91023602,21685,618804,2277.42
156,1,450,0.5,0.01,0.05,0.5,5,32,59,0,31,56.8991394,10192,259758,1084.27
157,1,450,0.5,0.01,0.05,0.5,10,55,81,0,45,88.76571951,31361,544685,2141.87
158,1,450,0.5,0.01,0.05,0.5,15,51,60,0,36,69.86670531,24940,534879,2089.42
159,1,450,0.5,0.01,0.05,0.6,5,41,63,0,30,59.2752713,16700,378013,1463.94
160,1,450,0.5,0.01,0.05,0.6,10,60,82,0,40,78.10989691,24029,724205,2894.78
161,1,450,0.5,0.01,0.05,0.6,15,34,79,0,48,89.60826311,27132,354715,1407.1
162,1,500,0.25,0.01,0.05,0.4,5,52,76,0,34,59.13238658,21752,510890,1949.87
163,1,500,0.25,0.01,0.05,0.4,10,88,81,0,37,67.76245324,63046,959211,3819.62
164,1,500,0.25,0.01,0.05,0.4,15,66,80,0,39,65.73474724,31789,881498,3244.56
165,1,500,0.25,0.01,0.05,0.5,5,51,59,0,29,54.87574653,15076,399696,1599.96
166,1,500,0.25,0.01,0.05,0.5,10,54,78,0,39,69.09433431,30394,741241,2615.26
167,1,500,0.25,0.01,0.05,0.5,15,54,83,0,42,71.70984934,30116,736200,2468.63
168,1,500,0.25,0.01,0.05,0.6,5,59,65,0,31,51.00145446,29939,724946,2655.34
169,1,500,0.25,0.01,0.05,0.6,10,64,78,0,35,62.50794866,34702,707887,2724.76
170,1,500,0.25,0.01,0.05,0.6,15,56,90,0,38,71.94461622,32894,802340,2994.04
171,0,500,0.375,0.01,0.05,0.4,5,110,0,0,0,0,68837,1144218,4264.28
172,1,500,0.375,0.01,0.05,0.4,10,35,82,0,48,87.96292419,15132,467222,1521.51
173,1,500,0.375,0.01,0.05,0.4,15,63,89,0,42,68.97144124,56902,932712,3190.52
174,1,500,0.375,0.01,0.05,0.5,5,47,67,0,35,61.56588446,18958,511841,1806.81
175,1,500,0.375,0.01,0.05,0.5,10,48,68,0,37,65.6899317,28419,536226,2015.47
176,1,500,0.375,0.01,0.05,0.5,15,43,75,0,37,63.34856126,15669,498466,1733.71
177,0,500,0.375,0.01,0.05,0.6,5,113,0,0,0,0,61016,1288570,4545.94
178,1,500,0.375,0.01,0.05,0.6,10,35,81,0,42,69.03053742,16034,423484,1425.2
179,1,500,0.375,0.01,0.05,0.6,15,34,70,0,39,64.37713591,12132,398534,1411.93
180,0,500,0.5,0.01,0.05,0.4,5,108,0,0,0,0,62983,1128059,4538.72
181,1,500,0.5,0.01,0.05,0.4,10,67,69,0,38,69.94612478,34851,890107,3025.82
182,1,500,0.5,0.01,0.05,0.4,15,36,75,0,45,72.20501343,19622,487978,1714.1
183,1,500,0.5,0.01,0.05,0.5,5,65,70,0,34,55.09876908,32687,882987,3086.25
184,1,500,0.5,0.01,0.05,0.5,10,38,74,0,41,73.12720217,20634,520801,1739.97
185,1,500,0.5,0.01,0.05,0.5,15,70,70,0,36,66.65402972,46682,1020564,3470.46
186,1,500,0.5,0.01,0.05,0.6,5,48,60,0,33,64.33387145,23672,611750,2034.79
187,1,500,0.5,0.01,0.05,0.6,10,50,82,0,41,73.69073708,32705,707445,2420.59
188,1,500,0.5,0.01,0.05,0.6,15,39,79,0,39,71.70608377,18905,548052,1771.53
189,0,550,0.25,0.01,0.05,0.4,5,102,0,0,0,0,58941,1108006,4057.99
190,1,550,0.25,0.01,0.05,0.4,10,51,83,0,35,62.49769864,18291,514364,1924.28
